ticker,category,period_index,as_of_date,composite_score,dcf_score,relative_score,recommendation,forward_return_pct
MCD,Consumer Discretionary (S&P 500),4,2024-09-25,56.1,56.6,53.9,Buy,-1.568041054227811
IDCC,Information Technology (S&P 400),4,2024-09-25,65.7,100.0,-71.7,Buy,40.84018263176969
NUE,Materials (S&P 500),4,2024-09-25,-17.5,-6.3,-62.4,Sell,-20.84054361100285
MTN,Consumer Discretionary (S&P 400),4,2024-09-25,86.6,97.6,42.5,Buy,6.16780955301292
LYV,Communication Services (S&P 500),4,2024-09-25,78.9,88.2,41.5,Buy,24.656391891940093
VAL,Energy (S&P 400),4,2024-09-25,5.0,13.9,-30.9,Hold,-25.227852713469375
DG,Consumer Staples (S&P 500),4,2024-09-25,53.9,46.8,82.2,Buy,-10.7927064950931
RTX,Industrials (S&P 500),4,2024-09-25,19.6,35.4,-43.7,Buy,-2.851764565702826
TKO,Communication Services (S&P 500),4,2024-09-25,63.7,90.8,-45.0,Buy,19.61028539978345
HCA,Health Care (S&P 500),4,2024-09-25,44.6,68.7,-51.8,Buy,-24.646205363190795
MMS,Industrials (S&P 400),4,2024-09-25,-31.4,-25.8,-53.9,Sell,-20.982803015153795
RS,Materials (S&P 400),4,2024-09-25,-34.9,-24.5,-76.3,Sell,-5.40413178820288
CDP,Real Estate (S&P 400),4,2024-09-25,-45.7,-32.1,-100.0,Sell,2.9817219452670014
WEC,Utilities (S&P 500),4,2024-09-25,-9.4,-19.0,28.9,Sell,1.3317756384306851
TMUS,Communication Services (S&P 500),4,2024-09-25,-39.2,-61.0,47.8,Sell,10.085179619820286
VFC,Consumer Discretionary (S&P 400),4,2024-09-25,44.7,80.9,-100.0,Buy,19.416684527162076
MTD,Health Care (S&P 500),4,2024-09-25,-26.3,-40.5,30.7,Sell,-12.254635326153236
AM,Energy (S&P 400),4,2024-09-25,39.9,50.7,-3.6,Buy,2.644001551118563
AAPL,Information Technology (S&P 500),4,2024-09-25,-48.0,-43.6,-65.6,Sell,14.186553411863478
WLK,Materials (S&P 400),4,2024-09-25,-78.2,-72.7,-100.0,Sell,-20.604541973936392
MO,Consumer Staples (S&P 500),4,2024-09-25,79.2,83.6,61.5,Buy,4.760980672143008
BKNG,Consumer Discretionary (S&P 500),4,2024-09-25,60.4,83.7,-33.0,Buy,22.887932943557967
UHS,Health Care (S&P 500),4,2024-09-25,-0.4,7.6,-32.1,Hold,-24.804999784036667
AZZ,Industrials (S&P 600),4,2024-09-25,59.7,73.3,5.4,Buy,2.4435048307948963
BHE,Information Technology (S&P 600),4,2024-09-25,-50.3,-52.6,-41.3,Sell,7.814148339633441
LIN,Materials (S&P 500),4,2024-09-25,-17.9,-22.1,-0.7,Sell,-10.47120559826491
WMB,Energy (S&P 500),4,2024-09-25,39.4,39.7,38.2,Buy,21.041750960672235
PEG,Utilities (S&P 500),4,2024-09-25,4.9,-16.7,91.1,Hold,-2.1083136174249812
RRX,Industrials (S&P 400),4,2024-09-25,21.0,51.2,-100.0,Buy,-3.6103522134583828
SWKS,Information Technology (S&P 500),4,2024-09-25,-47.6,-49.4,-40.3,Sell,-6.2868846642376495
AZO,Consumer Discretionary (S&P 500),4,2024-09-25,27.8,39.7,-20.1,Buy,5.613113391576368
CBT,Materials (S&P 400),4,2024-09-25,-15.4,-19.1,-0.6,Sell,-14.198093978664478
GIS,Consumer Staples (S&P 500),4,2024-09-25,36.6,33.3,49.7,Buy,-12.8591364876275
SPGI,Financials (S&P 500),4,2024-09-25,-12.6,3.3,-76.2,Sell,-1.7843080190909726
LAMR,Real Estate (S&P 400),4,2024-09-25,29.1,43.8,-29.6,Buy,-5.768069946171319
TEL,Information Technology (S&P 500),4,2024-09-25,-39.8,-41.6,-32.9,Sell,0.24079613848483114
MKC,Consumer Staples (S&P 500),4,2024-09-25,25.0,20.1,44.2,Buy,-5.926260563432693
NCLH,Consumer Discretionary (S&P 500),4,2024-09-25,86.4,88.2,79.1,Buy,30.856856748107646
NFLX,Communication Services (S&P 500),4,2024-09-25,-29.2,-14.8,-86.8,Sell,29.18121884856789
DOW,Materials (S&P 500),4,2024-09-25,-42.2,-27.8,-100.0,Sell,-22.920759787566464
LOW,Consumer Discretionary (S&P 500),4,2024-09-25,-25.4,-35.7,16.1,Sell,-5.1660422876384935
PSA,Real Estate (S&P 500),4,2024-09-25,30.2,62.7,-100.0,Buy,-15.557140642581052
NRG,Utilities (S&P 500),4,2024-09-25,45.0,81.2,-100.0,Buy,4.719600061037911
ESAB,Industrials (S&P 400),4,2024-09-25,-1.7,12.1,-57.0,Hold,16.400335501893625
WST,Health Care (S&P 500),4,2024-09-25,-17.4,-17.1,-18.7,Sell,9.775958114678662
BOX,Information Technology (S&P 600),4,2024-09-25,-43.8,-68.0,53.2,Sell,-1.8092613969488973
SLGN,Materials (S&P 400),4,2024-09-25,72.1,80.5,38.8,Buy,4.556252025057963
BKR,Energy (S&P 500),4,2024-09-25,86.5,84.7,93.5,Buy,13.779684692577735
PSKY,Communication Services (S&P 500),5,2024-12-24,49.3,86.7,-100.0,Buy,12.188104760918163
WSO,Industrials (S&P 400),5,2024-12-24,-68.4,-60.5,-100.0,Sell,4.885178312268345
LSCC,Information Technology (S&P 400),5,2024-12-24,-24.8,-47.5,65.9,Sell,4.12219110098592
ASTH,Health Care (S&P 600),5,2024-12-24,56.3,67.1,13.2,Buy,-4.749104463343983
AA,Materials (S&P 400),5,2024-12-24,0.7,25.8,-100.0,Hold,-13.035025736838001
PG,Consumer Staples (S&P 500),5,2024-12-24,-0.5,-4.1,13.6,Hold,-1.3495325253449602
TOL,Consumer Discretionary (S&P 400),5,2024-12-24,-1.3,19.7,-85.3,Hold,-13.646737528075938
MUR,Energy (S&P 400),5,2024-12-24,6.0,-6.1,54.2,Hold,-4.046121220886476
BFAM,Consumer Discretionary (S&P 600),5,2024-12-24,-62.0,-68.5,-35.9,Sell,15.33272576366625
VLO,Energy (S&P 500),5,2024-12-24,34.0,38.9,14.3,Buy,11.93851396771109
NEE,Utilities (S&P 500),5,2024-12-24,73.9,69.8,90.1,Buy,-3.1033511711689066
CALM,Consumer Staples (S&P 600),5,2024-12-24,-67.6,-67.6,,Sell,-8.063470997275848
BIIB,Health Care (S&P 500),5,2024-12-24,58.2,85.8,-52.0,Buy,-4.97919605167837
TXN,Information Technology (S&P 500),5,2024-12-24,-73.0,-76.4,-59.6,Sell,-2.888258927660963
PPG,Materials (S&P 500),5,2024-12-24,46.7,40.7,70.6,Buy,-6.070875740543074
PNW,Utilities (S&P 500),5,2024-12-24,57.8,69.5,10.8,Buy,9.868080798543906
AN,Consumer Discretionary (S&P 400),5,2024-12-24,62.0,91.9,-57.7,Buy,0.7880869793126839
OMC,Communication Services (S&P 500),5,2024-12-24,70.4,82.2,23.3,Buy,-7.29759546920269
KMB,Consumer Staples (S&P 500),5,2024-12-24,-64.2,-72.8,-29.8,Sell,5.197653972339308
DINO,Energy (S&P 400),5,2024-12-24,64.3,81.0,-2.8,Buy,-2.0886769045810065
SMTC,Information Technology (S&P 400),5,2024-12-24,-46.5,-45.6,-50.2,Sell,-37.44766399620104
CLF,Materials (S&P 400),5,2024-12-24,70.1,81.0,26.5,Buy,-1.7970409683766235
CELH,Consumer Staples (S&P 400),5,2024-12-24,-8.7,-34.2,93.2,Sell,27.485381176923312
EHC,Health Care (S&P 400),5,2024-12-24,-20.0,-23.7,-4.8,Sell,6.344211823972892
UNP,Industrials (S&P 500),5,2024-12-24,-18.1,-21.2,-5.8,Sell,2.9349772701669283
AVNT,Materials (S&P 400),5,2024-12-24,-49.9,-54.1,-33.3,Sell,-3.3941082575080133
TNL,Consumer Discretionary (S&P 400),5,2024-12-24,75.0,90.5,13.1,Buy,-3.5656350927318363
BNL,Real Estate (S&P 600),5,2024-12-24,80.1,88.7,45.5,Buy,8.610821375944555
PM,Consumer Staples (S&P 500),5,2024-12-24,40.1,57.6,-30.2,Buy,25.77141871635212
PBF,Energy (S&P 400),5,2024-12-24,76.0,76.0,75.9,Buy,-22.36755135345638
ALKS,Health Care (S&P 600),5,2024-12-24,86.7,83.9,97.8,Buy,17.33558638491428
ROL,Industrials (S&P 500),5,2024-12-24,31.4,36.4,11.5,Buy,12.6361095674057
BCPC,Materials (S&P 600),5,2024-12-24,-37.2,-44.0,-10.1,Sell,-1.0703567468082522
GOOG,Communication Services (S&P 500),5,2024-12-24,-31.8,-19.9,-79.4,Sell,-13.89199713996017
PNR,Industrials (S&P 500),5,2024-12-24,-37.2,-29.6,-67.5,Sell,-12.002170137535584
ACLS,Information Technology (S&P 600),5,2024-12-24,19.9,4.5,81.4,Buy,-20.180304500676222
AVY,Materials (S&P 500),5,2024-12-24,-54.4,-58.7,-37.2,Sell,-6.076038763283878
OVV,Energy (S&P 400),5,2024-12-24,46.9,57.2,6.0,Buy,11.831596636795062
FOX,Communication Services (S&P 500),5,2024-12-24,-14.2,-19.9,8.5,Sell,5.973342731962032
HWM,Industrials (S&P 500),5,2024-12-24,-22.6,-8.3,-79.8,Sell,21.568702533316085
WMG,Communication Services (S&P 400),5,2024-12-24,-57.0,-58.1,-52.9,Sell,4.589296985990915
AMT,Real Estate (S&P 500),5,2024-12-24,-14.8,-25.4,27.6,Sell,16.231077740310884
DAR,Consumer Staples (S&P 400),5,2024-12-24,74.1,72.7,79.8,Buy,-11.364984679519592
NVR,Consumer Discretionary (S&P 500),5,2024-12-24,-41.9,-27.3,-100.0,Sell,-10.870684869634925
MTDR,Energy (S&P 400),5,2024-12-24,28.2,45.4,-40.3,Buy,-1.6107234632786613
OPCH,Health Care (S&P 400),5,2024-12-24,77.7,74.5,90.6,Buy,52.17010038206343
FDX,Industrials (S&P 500),5,2024-12-24,17.7,17.5,18.2,Buy,-10.372221459062985
NXPI,Information Technology (S&P 500),5,2024-12-24,-31.7,-31.1,-33.8,Sell,-1.5047492460676504
UGI,Utilities (S&P 400),5,2024-12-24,73.3,91.6,-0.3,Buy,20.098585748791216
CAKE,Consumer Discretionary (S&P 600),5,2024-12-24,13.1,0.8,62.5,Buy,7.08672589015661
BG,Consumer Staples (S&P 500),5,2024-12-24,14.9,-3.6,88.7,Buy,-7.170353876390396
CHTR,Communication Services (S&P 500),5,2024-12-24,63.3,70.6,33.9,Buy,4.347084656709092
FANG,Energy (S&P 500),5,2024-12-24,-37.3,-35.5,-44.7,Sell,2.7738221339071405
AVTR,Health Care (S&P 400),5,2024-12-24,-55.8,-56.4,-53.3,Sell,-22.799628745671853
ALGM,Information Technology (S&P 400),5,2024-12-24,-17.8,-45.2,91.8,Sell,22.147350649076902
ALGT,Industrials (S&P 600),5,2024-12-24,94.7,100.0,73.3,Buy,-37.757359063947405
STLD,Materials (S&P 500),5,2024-12-24,8.3,27.6,-69.2,Buy,8.640065335182877
T,Communication Services (S&P 500),5,2024-12-24,51.5,41.4,91.7,Buy,18.963830530439555
DECK,Consumer Discretionary (S&P 500),5,2024-12-24,-44.6,-35.1,-82.6,Sell,-40.06057228126201
CVX,Energy (S&P 500),5,2024-12-24,32.0,42.4,-9.5,Buy,15.997189516091767
POST,Consumer Staples (S&P 400),5,2024-12-24,64.5,100.0,-77.3,Buy,-2.3901272349476765
PSN,Industrials (S&P 400),5,2024-12-24,10.6,25.0,-46.9,Buy,-35.288452438201126
ENSG,Health Care (S&P 400),5,2024-12-24,-25.7,-21.0,-44.6,Sell,-3.1607046086159545
GEF,Materials (S&P 400),5,2024-12-24,-16.8,-14.2,-27.2,Sell,-8.25319496782666
NWSA,Communication Services (S&P 500),5,2024-12-24,-36.4,-46.0,1.9,Sell,-3.002790344081688
CHH,Consumer Discretionary (S&P 400),5,2024-12-24,74.0,90.3,8.8,Buy,-6.376784786217457
CLX,Consumer Staples (S&P 500),5,2024-12-24,-49.8,-78.4,64.6,Sell,-11.26521055269908
APAM,Financials (S&P 600),5,2024-12-24,23.0,37.9,-36.6,Buy,-3.2448829541291357
PR,Energy (S&P 400),5,2024-12-24,68.5,100.0,-57.7,Buy,2.562408082469628
EW,Health Care (S&P 500),5,2024-12-24,-40.0,-54.0,16.3,Sell,-5.346244263910664
ACIW,Information Technology (S&P 600),5,2024-12-24,-84.4,-80.6,-100.0,Sell,2.9117053002438698
SPG,Real Estate (S&P 500),5,2024-12-24,29.7,44.2,-28.6,Buy,-2.9799785484447625
CEG,Utilities (S&P 500),5,2024-12-24,-48.2,-77.4,68.7,Sell,-0.32294272325849604
APTV,Consumer Discretionary (S&P 500),5,2024-12-24,74.7,71.1,89.3,Buy,6.605502975941064
JNJ,Health Care (S&P 500),5,2024-12-24,20.6,11.5,56.8,Buy,12.853659274087526
TEX,Industrials (S&P 400),5,2024-12-24,86.6,87.6,82.8,Buy,-9.37582435954723
AMAT,Information Technology (S&P 500),5,2024-12-24,-63.2,-60.3,-74.6,Sell,-7.758563435576195
VZ,Communication Services (S&P 500),5,2024-12-24,-27.6,-26.1,-33.6,Sell,11.38662358601256
EXP,Materials (S&P 400),5,2024-12-24,-3.0,8.0,-47.3,Hold,-8.824928680350954
ELF,Consumer Staples (S&P 400),5,2024-12-24,34.6,26.0,68.7,Buy,-50.822529796338955
AJG,Financials (S&P 500),5,2024-12-24,5.5,15.2,-33.6,Hold,17.328620858979775
CHRD,Energy (S&P 400),5,2024-12-24,84.6,93.4,49.8,Buy,0.907440512013722
EXLS,Industrials (S&P 400),5,2024-12-24,21.7,25.4,7.1,Buy,2.6501784348283217
RPM,Materials (S&P 400),5,2024-12-24,14.8,22.7,-16.8,Buy,-7.133507570928131
HST,Real Estate (S&P 500),5,2024-12-24,50.1,53.2,37.6,Buy,-16.148297207171627
NYT,Communication Services (S&P 400),5,2024-12-24,-23.7,-19.1,-42.0,Sell,-8.67159945678088
HRL,Consumer Staples (S&P 500),5,2024-12-24,70.7,74.8,54.2,Buy,-6.5323308050497175
GAP,Consumer Discretionary (S&P 400),5,2024-12-24,23.7,7.0,90.2,Buy,-9.248122510260776
HAL,Energy (S&P 500),5,2024-12-24,90.7,91.0,89.8,Buy,-3.943817008089655
CPAY,Financials (S&P 500),5,2024-12-24,27.8,44.4,-38.7,Buy,3.379064897337545
AXTA,Materials (S&P 400),5,2024-12-24,53.0,57.0,37.0,Buy,0.842046826629202
BLDR,Industrials (S&P 500),5,2024-12-24,-73.4,-66.7,-100.0,Sell,-11.483678776770551
MAA,Real Estate (S&P 500),5,2024-12-24,64.0,77.9,8.3,Buy,6.852608902518638
AROC,Energy (S&P 600),5,2024-12-24,-13.9,-24.5,28.8,Sell,10.869822606923291
CHD,Consumer Staples (S&P 500),5,2024-12-24,41.1,33.1,73.0,Buy,0.6895375067423781
CMCSA,Communication Services (S&P 500),5,2024-12-24,72.3,83.3,28.7,Buy,-3.886120106231176
VTRS,Health Care (S&P 500),5,2024-12-24,-15.7,1.1,-83.0,Sell,-24.05560104342123
APD,Materials (S&P 500),5,2024-12-24,-32.7,-32.8,-32.5,Sell,-0.25948041594069116
TYL,Information Technology (S&P 500),5,2024-12-24,-46.8,-39.8,-74.9,Sell,-4.150117597020088
COST,Consumer Staples (S&P 500),5,2024-12-24,-37.2,-31.1,-61.9,Sell,-3.3120709460651514
EXE,Energy (S&P 500),5,2024-12-24,-42.0,-56.8,17.2,Sell,12.585183809694398
EFX,Industrials (S&P 500),5,2024-12-24,-54.2,-57.3,-41.7,Sell,-5.937375002865987
SHW,Materials (S&P 500),5,2024-12-24,13.8,17.3,-0.3,Buy,-0.8833618543278906
HSY,Consumer Staples (S&P 500),5,2024-12-24,40.4,30.6,79.5,Buy,-0.6078877716577322
LNT,Utilities (S&P 500),5,2024-12-24,20.5,23.2,9.5,Buy,6.546024310688205
APA,Energy (S&P 500),5,2024-12-24,40.4,39.8,42.7,Buy,-3.693760407778158
MCD,Consumer Discretionary (S&P 500),5,2024-12-24,57.2,57.5,55.8,Buy,4.5732425189826555
IDCC,Information Technology (S&P 400),5,2024-12-24,60.0,100.0,-100.0,Buy,15.640794124626048
PH,Industrials (S&P 500),5,2024-12-24,-28.6,-31.6,-16.6,Sell,-1.2982363017554883
NUE,Materials (S&P 500),5,2024-12-24,-6.6,-2.3,-24.1,Hold,9.007636766536045
MTN,Consumer Discretionary (S&P 400),5,2024-12-24,77.1,86.5,39.5,Buy,-14.392862290929772
LYV,Communication Services (S&P 500),5,2024-12-24,61.3,78.5,-7.5,Buy,-4.725480299315804
VAL,Energy (S&P 400),5,2024-12-24,33.5,33.6,33.3,Buy,-2.315945276299115
DG,Consumer Staples (S&P 500),5,2024-12-24,59.7,53.5,84.7,Buy,12.288240523528511
RTX,Industrials (S&P 500),5,2024-12-24,21.8,37.3,-40.2,Buy,15.87065235298271
TKO,Communication Services (S&P 500),5,2024-12-24,52.4,81.8,-65.3,Buy,5.8426399508205495
HCA,Health Care (S&P 500),5,2024-12-24,61.5,80.2,-13.3,Buy,9.839899353558708
MMS,Industrials (S&P 400),5,2024-12-24,-19.3,-19.0,-20.3,Sell,-8.472991134084547
RS,Materials (S&P 400),5,2024-12-24,-42.5,-35.3,-71.5,Sell,6.506885227230902
CDP,Real Estate (S&P 400),5,2024-12-24,-46.8,-33.5,-100.0,Sell,-12.199471698405022
WEC,Utilities (S&P 500),5,2024-12-24,-10.4,-19.7,26.8,Sell,12.266531770789422
TMUS,Communication Services (S&P 500),5,2024-12-24,-43.9,-63.6,35.1,Sell,16.508450217828134
VFC,Consumer Discretionary (S&P 400),5,2024-12-24,39.5,74.4,-100.0,Buy,-21.936201686851522
MTD,Health Care (S&P 500),5,2024-12-24,-19.6,-37.8,53.3,Sell,-2.74733121181936
AM,Energy (S&P 400),5,2024-12-24,37.6,49.2,-8.7,Buy,19.27922399042531
AAPL,Information Technology (S&P 500),5,2024-12-24,-59.4,-54.5,-78.7,Sell,-14.418021936628762
WLK,Materials (S&P 400),5,2024-12-24,-73.5,-66.9,-100.0,Sell,-10.26694908696971
MO,Consumer Staples (S&P 500),5,2024-12-24,77.4,82.6,56.6,Buy,9.914213059353495
BKNG,Consumer Discretionary (S&P 500),5,2024-12-24,47.4,75.2,-63.9,Buy,-7.877745720819151
UHS,Health Care (S&P 500),5,2024-12-24,26.5,27.9,20.8,Buy,0.3131418614848492
AZZ,Industrials (S&P 600),5,2024-12-24,49.6,61.6,1.7,Buy,4.546230342100674
BHE,Information Technology (S&P 600),5,2024-12-24,-62.2,-64.8,-51.6,Sell,-11.495445746667611
LIN,Materials (S&P 500),5,2024-12-24,-7.5,-15.7,25.2,Sell,8.185516754240982
WMB,Energy (S&P 500),5,2024-12-24,22.7,26.8,6.3,Buy,12.891182883393004
PEG,Utilities (S&P 500),5,2024-12-24,5.9,-15.5,91.3,Hold,-2.087532319516985
MZTI,Consumer Staples (S&P 400),5,2024-12-24,-13.6,-35.5,74.3,Sell,-0.7275753930441357
RRX,Industrials (S&P 400),5,2024-12-24,11.5,39.3,-100.0,Buy,-21.359716244969622
SWKS,Information Technology (S&P 500),5,2024-12-24,-45.1,-49.1,-29.0,Sell,-22.804186593533593
AZO,Consumer Discretionary (S&P 500),5,2024-12-24,32.1,39.0,4.2,Buy,11.400711748429304
CBT,Materials (S&P 400),5,2024-12-24,-10.6,-21.1,31.0,Sell,-8.703143006256685
GIS,Consumer Staples (S&P 500),5,2024-12-24,46.5,42.2,63.7,Buy,-7.831607186295522
SPGI,Financials (S&P 500),5,2024-12-24,-13.4,1.9,-74.7,Sell,0.01953815154695292
LAMR,Real Estate (S&P 400),5,2024-12-24,34.4,47.6,-18.2,Buy,-7.272012185303166
TEL,Information Technology (S&P 500),5,2024-12-24,-43.8,-46.4,-33.3,Sell,2.8207848456504414
MKC,Consumer Staples (S&P 500),5,2024-12-24,30.3,24.7,52.9,Buy,3.56525629954449
NCLH,Consumer Discretionary (S&P 500),5,2024-12-24,75.1,76.4,69.9,Buy,-21.688113269074986
NFLX,Communication Services (S&P 500),5,2024-12-24,-55.6,-44.5,-100.0,Sell,4.277345833016506
DOW,Materials (S&P 500),5,2024-12-24,-28.0,-10.0,-100.0,Sell,-7.7992373609996255
FOXA,Communication Services (S&P 500),5,2024-12-24,-17.2,-23.7,9.1,Sell,7.316759703042443
LOW,Consumer Discretionary (S&P 500),5,2024-12-24,-21.2,-33.3,27.0,Sell,-6.519225641508003
PSA,Real Estate (S&P 500),5,2024-12-24,39.6,70.7,-85.0,Buy,-0.9724403023415102
NRG,Utilities (S&P 500),5,2024-12-24,40.3,75.4,-100.0,Buy,11.043422051170177
ESAB,Industrials (S&P 400),5,2024-12-24,-24.3,-12.1,-73.1,Sell,0.5082569319670971
WST,Health Care (S&P 500),5,2024-12-24,-28.4,-25.7,-39.5,Sell,-30.267916179824393
BOX,Information Technology (S&P 600),5,2024-12-24,-42.9,-67.6,55.9,Sell,-3.7788912383600803
SLGN,Materials (S&P 400),5,2024-12-24,69.9,79.1,33.1,Buy,-5.055373099561436
BKR,Energy (S&P 500),5,2024-12-24,73.3,68.4,92.7,Buy,9.87355514665805
PSKY,Communication Services (S&P 500),6,2025-03-24,47.2,84.0,-100.0,Buy,6.547714984681753
WSO,Industrials (S&P 400),6,2025-03-24,-65.2,-56.5,-100.0,Sell,-17.21053102663763
LSCC,Information Technology (S&P 400),6,2025-03-24,-24.4,-45.8,61.4,Sell,-20.473190921983424
ASTH,Health Care (S&P 600),6,2025-03-24,72.1,83.6,25.9,Buy,-24.74129677220862
AA,Materials (S&P 400),6,2025-03-24,15.1,43.9,-100.0,Buy,-16.477285081857165
PG,Consumer Staples (S&P 500),6,2025-03-24,0.9,-3.1,17.0,Hold,-3.367580577635488
TOL,Consumer Discretionary (S&P 400),6,2025-03-24,44.1,62.5,-29.6,Buy,-1.467284660524937
MUR,Energy (S&P 400),6,2025-03-24,15.5,4.7,58.5,Buy,-7.582790654516897
BFAM,Consumer Discretionary (S&P 600),6,2025-03-24,-63.4,-65.8,-53.7,Sell,-3.3117253581917008
VLO,Energy (S&P 500),6,2025-03-24,23.2,31.6,-10.3,Buy,7.841624988616068
NEE,Utilities (S&P 500),6,2025-03-24,74.9,71.0,90.3,Buy,2.909640251487592
CALM,Consumer Staples (S&P 600),6,2025-03-24,-65.6,-65.6,,Sell,13.603610363716273
BIIB,Health Care (S&P 500),6,2025-03-24,62.1,89.1,-46.0,Buy,-10.28248909632412
TXN,Information Technology (S&P 500),6,2025-03-24,-71.0,-74.9,-55.5,Sell,7.752108756676172
PPG,Materials (S&P 500),6,2025-03-24,50.6,44.5,75.0,Buy,-3.2134663607372373
PNW,Utilities (S&P 500),6,2025-03-24,52.0,64.9,0.2,Buy,-3.9440428300937365
AN,Consumer Discretionary (S&P 400),6,2025-03-24,61.8,91.8,-58.2,Buy,12.196789166321143
OMC,Communication Services (S&P 500),6,2025-03-24,74.7,83.8,38.1,Buy,-10.645390522455246
KMB,Consumer Staples (S&P 500),6,2025-03-24,-66.3,-73.4,-37.6,Sell,-6.039804229436647
DINO,Energy (S&P 400),6,2025-03-24,65.5,81.4,1.6,Buy,28.002447480438487
SMTC,Information Technology (S&P 400),6,2025-03-24,-16.4,-27.2,26.9,Sell,3.817553073133912
CLF,Materials (S&P 400),6,2025-03-24,70.2,80.4,29.4,Buy,-24.86544620306734
CELH,Consumer Staples (S&P 400),6,2025-03-24,-9.4,-34.6,91.1,Sell,24.34058946038987
EHC,Health Care (S&P 400),6,2025-03-24,-25.5,-27.5,-17.6,Sell,19.428171175910837
UNP,Industrials (S&P 500),6,2025-03-24,-20.9,-23.0,-12.3,Sell,-4.822225839027959
AVNT,Materials (S&P 400),6,2025-03-24,-41.3,-44.5,-28.6,Sell,-15.118788693512474
TNL,Consumer Discretionary (S&P 400),6,2025-03-24,76.0,90.8,16.9,Buy,1.4996134122985039
BNL,Real Estate (S&P 600),6,2025-03-24,76.5,86.6,36.1,Buy,-3.6440540180470395
PM,Consumer Staples (S&P 500),6,2025-03-24,23.4,44.2,-60.0,Buy,20.943580676594596
PBF,Energy (S&P 400),6,2025-03-24,84.2,83.2,87.9,Buy,22.521182089789537
ALKS,Health Care (S&P 600),6,2025-03-24,84.0,80.6,97.4,Buy,-16.38402015791684
ROL,Industrials (S&P 500),6,2025-03-24,19.3,28.6,-18.2,Buy,8.266018099453255
BCPC,Materials (S&P 600),6,2025-03-24,-30.5,-36.3,-7.1,Sell,-5.17263115950786
GOOG,Communication Services (S&P 500),6,2025-03-24,-18.8,-7.5,-64.0,Sell,-1.1760153601122454
PNR,Industrials (S&P 500),6,2025-03-24,-22.1,-14.6,-51.8,Sell,8.594548319342255
ACLS,Information Technology (S&P 600),6,2025-03-24,46.5,35.5,90.4,Buy,14.717632525269304
AVY,Materials (S&P 500),6,2025-03-24,-50.7,-56.6,-26.9,Sell,-0.34289932516457317
OVV,Energy (S&P 400),6,2025-03-24,36.2,48.3,-12.2,Buy,-2.791271534549542
FOX,Communication Services (S&P 500),6,2025-03-24,-19.6,-23.6,-3.7,Sell,2.072015755735603
HWM,Industrials (S&P 500),6,2025-03-24,-41.7,-27.1,-100.0,Sell,27.443149067179878
WMG,Communication Services (S&P 400),6,2025-03-24,-18.2,-19.6,-12.9,Sell,-17.559646626701465
AMT,Real Estate (S&P 500),6,2025-03-24,-26.3,-33.5,2.4,Sell,3.8510741124010255
DAR,Consumer Staples (S&P 400),6,2025-03-24,82.2,82.0,82.9,Buy,29.2935984158343
NVR,Consumer Discretionary (S&P 500),6,2025-03-24,-31.4,-20.2,-76.1,Sell,-2.7654625347057484
MTDR,Energy (S&P 400),6,2025-03-24,28.4,45.0,-38.1,Buy,-2.3039528184036446
OPCH,Health Care (S&P 400),6,2025-03-24,58.8,54.8,74.7,Buy,-9.161620517730594
FDX,Industrials (S&P 500),6,2025-03-24,27.3,25.6,34.4,Buy,-6.718383651956726
NXPI,Information Technology (S&P 500),6,2025-03-24,-22.9,-20.8,-31.4,Sell,-1.0041645826016936
UGI,Utilities (S&P 400),6,2025-03-24,0.6,15.3,-58.0,Hold,10.742867072073283
CAKE,Consumer Discretionary (S&P 600),6,2025-03-24,8.4,-3.9,57.5,Buy,17.75917539921593
BG,Consumer Staples (S&P 500),6,2025-03-24,19.3,1.5,90.2,Buy,18.42588569891974
CHTR,Communication Services (S&P 500),6,2025-03-24,61.1,68.7,30.9,Buy,5.134692548894558
FANG,Energy (S&P 500),6,2025-03-24,-39.0,-36.7,-48.2,Sell,-6.909513585000228
AVTR,Health Care (S&P 400),6,2025-03-24,-29.7,-32.2,-19.6,Sell,-17.707702345807515
ALGM,Information Technology (S&P 400),6,2025-03-24,-18.3,-45.3,90.0,Sell,13.865386084464468
ALGT,Industrials (S&P 600),6,2025-03-24,96.8,100.0,84.2,Buy,-10.688241811239713
STLD,Materials (S&P 500),6,2025-03-24,2.9,22.7,-76.3,Hold,-0.1974943055890471
T,Communication Services (S&P 500),6,2025-03-24,42.5,30.3,90.9,Buy,4.097747593139856
DECK,Consumer Discretionary (S&P 500),6,2025-03-24,1.2,-0.6,8.4,Hold,-18.439202604665986
CVX,Energy (S&P 500),6,2025-03-24,18.8,33.8,-41.2,Buy,-8.270776608334163
POST,Consumer Staples (S&P 400),6,2025-03-24,72.5,93.4,-11.3,Buy,0.9059127774534518
PSN,Industrials (S&P 400),6,2025-03-24,60.7,65.0,43.9,Buy,10.833614209299558
ENSG,Health Care (S&P 400),6,2025-03-24,-23.3,-19.1,-40.4,Sell,17.80303852242707
GEF,Materials (S&P 400),6,2025-03-24,17.3,30.1,-33.7,Buy,13.854513791542766
NWSA,Communication Services (S&P 500),6,2025-03-24,-28.6,-37.8,8.5,Sell,3.846161724603217
CHH,Consumer Discretionary (S&P 400),6,2025-03-24,77.3,91.0,22.6,Buy,-6.315394065165695
CLX,Consumer Staples (S&P 500),6,2025-03-24,-47.1,-77.5,74.5,Sell,-15.352399042210408
